Funcionario,Escolaridade,Genero,Idade,Meses,Salario
1,Fundam.1,M,28,47,8280
2,Fundam.2,F,32,56,13400
3,Fundam.2,F,59,98,16900
4,Fundam.2,O,59,31,5930
5,Fundam.1,M,42,34,12410
6,Fundam.2,F,60,33,2590
7,Fundam.2,M,21,74,15760
8,Fundam.1,F,31,20,12530
9,Fundam.2,F,19,50,16500
10,Fundam.2,F,29,22,4650
11,Fundam.1,F,27,19,3840
12,Fundam.2,M,57,97,3460
13,Fundam.1,M,43,88,15670
14,Fundam.2,F,29,6,17920
15,Fundam.2,F,74,21,8690
16,Superior,F,51,32,4950
17,Fundam.1,O,22,83,8920
18,Fundam.2,F,21,68,15270
19,Superior,M,70,2,5500
20,Superior,M,74,75,9150
