Funcionario,Escolaridade,Genero,Idade,Meses,Salario
1,Fundam.1,M,34,28,7260
2,Fundam.1,M,30,35,11510
3,Fundam.1,M,74,85,8090
4,Fundam.1,F,50,87,15230
5,Fundam.2,F,38,47,12910
6,Fundam.2,M,50,39,8650
7,Fundam.1,M,24,6,4410
8,Superior,M,48,90,8680
9,Fundam.1,M,36,65,15650
10,Fundam.2,M,72,93,17660
11,Superior,M,62,84,6710
12,Fundam.1,M,71,67,12990
13,Superior,M,36,13,4450
14,Fundam.2,F,63,86,7380
15,Superior,O,66,19,19760
16,Fundam.2,F,59,61,1460
17,Superior,F,55,77,4580
18,Fundam.1,M,37,57,4970
19,Fundam.1,M,30,23,11760
20,Fundam.2,F,28,92,19510
