Funcionario,Escolaridade,Genero,Idade,Meses,Salario
1,Fundam.1,F,31,43,16210
2,Fundam.2,F,64,29,5970
3,Fundam.1,O,32,8,2900
4,Fundam.2,F,43,56,3040
5,Fundam.1,F,15,6,3350
6,Fundam.1,F,44,38,6360
7,Fundam.1,O,74,31,11350
8,Superior,M,73,28,7180
9,Fundam.2,F,42,20,14200
10,Fundam.2,F,63,98,1430
11,Superior,F,69,52,5780
12,Fundam.2,O,67,27,14200
13,Superior,F,72,53,18990
14,Fundam.2,M,33,67,19920
15,Fundam.1,F,61,12,16190
16,Fundam.2,F,35,17,4050
17,Fundam.1,F,33,33,8200
18,Fundam.2,M,55,42,9440
19,Fundam.1,F,40,13,18620
20,Fundam.1,F,34,3,8950
