Funcionario,Escolaridade,Genero,Idade,Meses,Salario
1,Fundam.1,F,45,54,1160
2,Fundam.2,F,64,6,11620
3,Fundam.1,M,49,14,8910
4,Fundam.2,F,66,67,7760
5,Fundam.2,F,61,31,18890
6,Fundam.1,F,69,3,12160
7,Fundam.2,M,30,35,14060
8,Fundam.1,M,43,96,9200
9,Fundam.2,M,23,16,10940
10,Superior,M,37,32,16730
11,Fundam.1,M,51,99,3800
12,Fundam.1,M,35,85,17570
13,Superior,O,43,77,17620
14,Superior,O,62,2,17810
15,Fundam.1,F,73,87,8950
16,Superior,M,68,6,16500
17,Fundam.1,M,19,80,4680
18,Fundam.2,M,48,7,5450
19,Superior,M,31,29,7880
20,Fundam.2,O,27,60,5960
